#options: 2580x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5070 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:50 out:50 type:P dur:2 cpbdur:2 q:35.71 aq:28.06 tex:78003 mv:37285 misc:8392 imb:1772 pmb:2694 smb:6550 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:35.86 aq:27.86 tex:85099 mv:40408 misc:8909 imb:2033 pmb:2875 smb:6108 d:- ref:0 ;
in:54 out:52 type:P dur:2 cpbdur:2 q:36.18 aq:28.28 tex:109257 mv:51212 misc:8091 imb:3289 pmb:3154 smb:4573 d:- ref:0 ;
in:52 out:53 type:B dur:2 cpbdur:2 q:35.96 aq:28.80 tex:12046 mv:29203 misc:7847 imb:415 pmb:2221 smb:8380 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:36.07 aq:28.46 tex:6709 mv:19155 misc:6104 imb:216 pmb:1579 smb:9221 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:36.94 aq:29.57 tex:69790 mv:41675 misc:8295 imb:1826 pmb:2924 smb:6266 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:36.56 aq:30.03 tex:7800 mv:20198 misc:5562 imb:251 pmb:1513 smb:9252 d:- ref:0 ;
in:58 out:57 type:P dur:2 cpbdur:2 q:37.82 aq:30.20 tex:55590 mv:37564 misc:8070 imb:2478 pmb:2468 smb:6070 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:37.38 aq:31.06 tex:6516 mv:18790 misc:5646 imb:244 pmb:1475 smb:9297 d:- ref:0 ;
in:61 out:59 type:P dur:2 cpbdur:2 q:37.44 aq:29.48 tex:109976 mv:47047 misc:7137 imb:4038 pmb:2447 smb:4531 d:- ref:0 ;
in:59 out:60 type:B dur:2 cpbdur:2 q:37.69 aq:31.29 tex:17360 mv:30720 misc:7256 imb:949 pmb:1819 smb:8248 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:37.57 aq:32.02 tex:14791 mv:27263 misc:6498 imb:672 pmb:1801 smb:8543 d:- ref:0 ;
in:63 out:62 type:P dur:2 cpbdur:2 q:37.10 aq:28.94 tex:93548 mv:43536 misc:7516 imb:2372 pmb:2669 smb:5975 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:37.27 aq:32.02 tex:13042 mv:24134 misc:6064 imb:408 pmb:1739 smb:8869 d:- ref:0 ;
in:66 out:64 type:P dur:2 cpbdur:2 q:36.73 aq:28.46 tex:84741 mv:42227 misc:7816 imb:2352 pmb:2615 smb:6049 d:- ref:0 ;
in:64 out:65 type:B dur:2 cpbdur:2 q:36.97 aq:33.52 tex:9292 mv:19623 misc:5725 imb:237 pmb:1601 smb:9178 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:36.85 aq:30.83 tex:5959 mv:15473 misc:5440 imb:142 pmb:1475 smb:9399 d:- ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:36.41 aq:29.08 tex:76589 mv:39514 misc:8065 imb:1539 pmb:2905 smb:6572 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:36.57 aq:31.21 tex:6335 mv:16791 misc:5122 imb:132 pmb:1423 smb:9461 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:36.08 aq:27.81 tex:93139 mv:40087 misc:8550 imb:2077 pmb:2701 smb:6238 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:36.25 aq:29.48 tex:19371 mv:25883 misc:7770 imb:353 pmb:2337 smb:8326 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:36.33 aq:31.51 tex:4427 mv:11237 misc:3992 imb:44 pmb:1056 smb:9916 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:36.16 aq:29.56 tex:8832 mv:20306 misc:6430 imb:242 pmb:1799 smb:8975 d:- ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:35.96 aq:27.35 tex:60522 mv:36162 misc:9236 imb:1903 pmb:2581 smb:6532 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:36.02 aq:29.65 tex:6549 mv:15563 misc:5560 imb:199 pmb:1371 smb:9446 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:36.08 aq:27.12 tex:57368 mv:32991 misc:9049 imb:1630 pmb:2410 smb:6976 d:- ref:0 ;
